"idade_pessoa";"salario_anual";"tipo_imovel";"anos_trabalhados";"motivo_emprestimo";"pontuacao_emprestimo";"valor_emprestimo";"taxa_juros";"possibilidade_inadimplencia";"renda_percentual";"foi_inadimplente";"anos_primeiro_emprestimo"
30;39552;"Mortgage";2.0;"Venture";"B";12375;10.37;0;0.31;"N";9
28;108000;"Rent";2.0;"Personal";"D";20000;15.31;1;0.19;"N";7
31;64900;"Rent";2.0;"Medical";"A";10000;7.66;0;0.15;"N";5
25;25200;"Own";5.0;"Homeimprovement";"D";1200;15.99;0;0.05;"Y";3
25;56000;"Rent";2.0;"Personal";"B";3000;12.69;0;0.05;"N";3
45;123000;"Rent";2.0;"Education";"F";14000;0.0;1;0.11;"N";17
26;56045;"Rent";1.0;"Medical";"D";24250;14.96;1;0.37;"N";2
24;50000;"Rent";8.0;"Personal";"C";8000;15.96;0;0.16;"N";3
24;70000;"Mortgage";9.0;"Medical";"A";7500;8.32;0;0.11;"N";2
30;50000;"Rent";4.0;"Homeimprovement";"E";16000;16.77;1;0.32;"N";5
29;24000;"Own";3.0;"Personal";"A";7200;7.51;0;0.3;"N";6
25;61000;"Own";2.0;"Personal";"C";15000;14.65;0;0.25;"N";2
26;225000;"Rent";1.0;"Education";"A";3000;9.32;0;0.01;"N";4
23;92000;"Mortgage";7.0;"Personal";"B";15000;11.26;0;0.16;"N";2
43;43000;"Mortgage";5.0;"Personal";"B";15000;8.88;0;0.35;"N";15
23;54000;"Rent";7.0;"Debtconsolidation";"B";15550;11.71;0;0.29;"N";4
25;60000;"Rent";8.0;"Homeimprovement";"D";5000;15.57;0;0.08;"N";4
30;72000;"Mortgage";3.0;"Personal";"B";12000;10.95;0;0.17;"N";5
25;99996;"Mortgage";3.0;"Venture";"A";8000;8.0;0;0.08;"N";2
23;60000;"Rent";0.0;"Education";"C";11200;10.78;0;0.19;"N";3
26;30000;"Rent";0.0;"Debtconsolidation";"D";6000;0.0;1;0.2;"Y";2
23;31000;"Rent";1.0;"Personal";"D";1000;14.96;1;0.03;"Y";3
23;98000;"Rent";0.0;"Education";"E";10000;16.4;1;0.1;"N";2
26;30000;"Mortgage";0.0;"Education";"A";4000;7.14;0;0.13;"N";3
23;62000;"Mortgage";3.0;"Medical";"A";9000;0.0;0;0.15;"N";4
48;57996;"Rent";2.0;"Homeimprovement";"C";7000;13.61;0;0.12;"Y";12
27;64000;"Rent";3.0;"Personal";"A";3600;7.49;1;0.06;"N";5
24;75000;"Mortgage";7.0;"Education";"A";8500;6.99;0;0.11;"N";3
24;29200;"Mortgage";6.0;"Personal";"A";2500;6.76;0;0.09;"N";2
30;107000;"Mortgage";0.0;"Debtconsolidation";"C";2500;10.78;0;0.02;"Y";6
30;15000;"Rent";0.0;"Homeimprovement";"A";2700;7.29;1;0.18;"N";5
22;60000;"Mortgage";5.0;"Venture";"A";5600;7.49;0;0.09;"N";3
25;78000;"Mortgage";9.0;"Education";"A";8000;5.79;0;0.1;"N";2
23;43000;"Mortgage";3.0;"Venture";"D";3600;15.62;0;0.08;"N";3
23;75000;"Mortgage";2.0;"Venture";"E";19600;15.13;0;0.26;"N";3
24;49000;"Other";1.0;"Personal";"C";20000;11.34;1;0.41;"Y";4
29;65000;"Mortgage";5.0;"Medical";"B";6000;10.36;0;0.09;"N";7
34;30000;"Own";3.0;"Homeimprovement";"C";8875;14.27;0;0.3;"Y";8
24;75000;"Mortgage";0.0;"Education";"B";7000;11.99;0;0.09;"N";3
26;30000;"Rent";1.0;"Medical";"E";5100;7.51;0;0.17;"N";9
24;88000;"Rent";0.0;"Homeimprovement";"B";14000;9.99;0;0.16;"N";3
27;85000;"Mortgage";9.0;"Medical";"B";24000;11.71;0;0.28;"N";10
22;33600;"Rent";3.0;"Education";"B";10000;10.25;0;0.3;"N";3
26;75000;"Rent";2.0;"Personal";"C";16000;13.35;0;0.21;"Y";2
21;61464;"Mortgage";5.0;"Homeimprovement";"C";4000;0.0;1;0.07;"Y";2
29;18000;"Rent";2.0;"Homeimprovement";"B";3000;12.69;1;0.17;"N";8
25;31200;"Own";9.0;"Personal";"A";15000;6.03;0;0.48;"N";4
27;44000;"Rent";6.0;"Venture";"A";4800;7.51;0;0.11;"N";10
47;30000;"Rent";5.0;"Debtconsolidation";"B";8000;12.18;1;0.27;"N";11
25;52000;"Rent";3.0;"Education";"B";7200;12.69;0;0.14;"N";3
24;35000;"Rent";9.0;"Education";"A";1500;0.0;0;0.04;"N";3
26;29000;"Rent";0.0;"Homeimprovement";"D";3400;15.62;1;0.12;"Y";4
32;61000;"Other";0.0;"Debtconsolidation";"B";2300;10.99;0;0.08;"N";2
25;40000;"Rent";2.0;"Debtconsolidation";"B";5600;0.0;0;0.14;"N";3
27;54000;"Rent";2.0;"Medical";"B";20000;10.99;1;0.37;"N";8
39;88400;"Mortgage";20.0;"Medical";"F";25000;18.3;1;0.24;"N";13
22;110000;"Rent";3.0;"Debtconsolidation";"B";12600;10.75;0;0.11;"N";2
36;32000;"Own";0.0;"Education";"A";1200;7.14;0;0.04;"N";16
45;100000;"Mortgage";16.0;"Personal";"A";16000;6.62;0;0.16;"N";16
24;34132;"Rent";0.0;"Education";"B";12000;10.62;1;0.35;"N";3
22;116000;"Mortgage";3.0;"Debtconsolidation";"B";12000;10.25;0;0.1;"N";4
27;95004;"Mortgage";1.0;"Personal";"A";15000;7.51;0;0.16;"N";9
27;65000;"Mortgage";0.0;"Homeimprovement";"D";22000;14.09;0;0.34;"Y";6
36;45000;"Rent";14.0;"Debtconsolidation";"B";6000;9.99;0;0.13;"N";12
25;26004;"Mortgage";3.0;"Education";"B";10000;9.91;0;0.38;"N";2
30;43000;"Rent";1.0;"Medical";"A";3200;8.0;0;0.07;"N";5
24;37000;"Rent";1.0;"Debtconsolidation";"A";6000;7.66;0;0.16;"N";2
23;39000;"Rent";5.0;"Personal";"C";8400;13.79;1;0.22;"N";2
27;96000;"Rent";3.0;"Homeimprovement";"A";10000;7.88;0;0.1;"N";10
22;25000;"Rent";0.0;"Personal";"A";7500;7.51;0;0.3;"N";4
25;42000;"Rent";2.0;"Education";"A";3150;5.79;0;0.07;"N";4
34;80000;"Rent";4.0;"Education";"A";5000;6.17;0;0.06;"N";8
27;32500;"Own";3.0;"Personal";"A";5000;6.62;0;0.15;"N";8
26;62500;"Rent";7.0;"Medical";"C";12000;12.23;0;0.19;"Y";4
28;39000;"Rent";6.0;"Medical";"D";8000;14.91;1;0.21;"Y";7
25;38000;"Rent";9.0;"Personal";"E";15000;16.45;1;0.39;"Y";3
23;62400;"Rent";0.0;"Venture";"A";12000;6.91;0;0.19;"N";3
25;72893;"Mortgage";9.0;"Personal";"C";20000;13.22;0;0.27;"N";2
23;98000;"Own";6.0;"Education";"D";10000;18.07;0;0.1;"Y";3
25;69000;"Mortgage";10.0;"Debtconsolidation";"D";15000;14.54;1;0.22;"Y";3
22;37000;"Rent";0.0;"Debtconsolidation";"B";10000;0.0;0;0.27;"N";2
24;78300;"Rent";2.0;"Venture";"A";7000;6.03;0;0.09;"N";3
32;64000;"Rent";1.0;"Education";"D";4200;0.0;1;0.07;"Y";5
24;59400;"Rent";8.0;"Debtconsolidation";"A";6000;7.9;0;0.1;"N";3
33;59000;"Rent";17.0;"Medical";"B";9600;9.91;0;0.16;"N";8
38;47000;"Mortgage";5.0;"Debtconsolidation";"A";11000;8.9;0;0.23;"N";16
46;65000;"Rent";1.0;"Education";"B";6000;12.69;0;0.09;"N";13
31;40000;"Own";0.0;"Medical";"D";15000;15.31;0;0.38;"Y";10
31;17000;"Rent";3.0;"Venture";"B";4575;11.48;1;0.27;"N";7
32;64052;"Rent";3.0;"Homeimprovement";"B";4875;10.74;0;0.08;"N";9
23;30000;"Rent";3.0;"Venture";"C";6400;0.0;0;0.21;"Y";3
23;75000;"Rent";3.0;"Personal";"E";23575;14.5;1;0.31;"N";4
22;55000;"Rent";6.0;"Education";"A";5000;6.91;0;0.09;"N";2
25;40000;"Rent";0.0;"Venture";"B";5925;11.11;0;0.15;"N";3
34;39000;"Rent";5.0;"Homeimprovement";"B";7200;11.71;1;0.18;"N";5
27;78000;"Rent";4.0;"Personal";"B";24000;10.99;1;0.31;"N";10
23;120000;"Mortgage";2.0;"Education";"A";6000;6.76;0;0.05;"N";3
23;18000;"Rent";1.0;"Personal";"C";3250;0.0;1;0.18;"Y";4
31;48000;"Own";0.0;"Homeimprovement";"B";1600;9.99;0;0.03;"N";8
23;65000;"Mortgage";3.0;"Education";"A";8000;7.14;0;0.12;"N";4
22;74500;"Mortgage";6.0;"Venture";"C";8000;15.96;0;0.11;"N";3
23;72000;"Rent";7.0;"Personal";"B";10000;10.59;0;0.14;"N";4
21;24000;"Rent";5.0;"Education";"B";2000;11.14;0;0.08;"N";4
25;37000;"Rent";2.0;"Venture";"B";3325;11.49;0;0.09;"N";3
24;60000;"Mortgage";0.0;"Personal";"B";15000;11.89;0;0.25;"N";2
30;50000;"Rent";6.0;"Medical";"C";10000;0.0;0;0.2;"N";5
23;80000;"Mortgage";7.0;"Education";"B";10000;0.0;0;0.13;"N";2
23;78000;"Rent";5.0;"Education";"D";2300;17.58;0;0.03;"Y";2
58;49000;"Mortgage";34.0;"Medical";"D";7500;13.55;1;0.15;"Y";24
34;18000;"Rent";0.0;"Debtconsolidation";"B";1500;11.48;1;0.08;"N";8
31;47000;"Mortgage";6.0;"Medical";"C";20000;13.49;0;0.43;"N";5
27;69000;"Mortgage";3.0;"Education";"B";4000;11.49;1;0.06;"N";8
26;51996;"Mortgage";10.0;"Personal";"B";1500;9.7;0;0.03;"N";3
24;91800;"Mortgage";0.0;"Medical";"C";16000;14.22;1;0.15;"N";4
23;30000;"Own";5.0;"Personal";"B";3000;12.18;0;0.1;"N";2
22;20400;"Rent";0.0;"Personal";"B";5000;12.42;0;0.25;"N";2
28;39000;"Rent";6.0;"Debtconsolidation";"A";5000;5.99;1;0.13;"N";7
21;30000;"Rent";2.0;"Debtconsolidation";"D";12250;14.59;1;0.41;"Y";3
25;49244;"Rent";3.0;"Education";"A";8000;8.0;0;0.16;"N";3
24;50000;"Rent";6.0;"Personal";"A";4000;7.66;0;0.08;"N";4
36;46000;"Mortgage";3.0;"Venture";"A";8000;5.42;0;0.17;"N";15
34;105000;"Mortgage";14.0;"Venture";"A";12000;6.99;0;0.11;"N";5
30;108800;"Mortgage";2.0;"Medical";"E";15000;16.35;1;0.12;"N";8
24;30000;"Rent";2.0;"Debtconsolidation";"C";3350;14.72;0;0.11;"Y";2
22;103000;"Mortgage";6.0;"Personal";"B";15000;9.63;1;0.15;"N";4
36;40000;"Rent";2.0;"Education";"C";11250;14.27;0;0.28;"N";12
25;60000;"Rent";1.0;"Education";"A";10000;0.0;0;0.17;"N";4
31;30000;"Rent";5.0;"Medical";"B";7000;11.99;0;0.23;"N";8
28;57360;"Mortgage";3.0;"Personal";"B";23000;0.0;0;0.4;"N";8
35;67000;"Mortgage";10.0;"Personal";"A";3300;7.88;0;0.05;"N";6
24;134000;"Mortgage";2.0;"Debtconsolidation";"D";25000;14.83;1;0.19;"N";4
24;50000;"Mortgage";7.0;"Homeimprovement";"C";6000;13.99;0;0.12;"Y";4
20;65000;"Mortgage";4.0;"Venture";"B";4800;9.99;0;0.07;"N";4
24;110000;"Mortgage";8.0;"Personal";"A";27300;7.51;0;0.25;"N";3
28;20292;"Rent";3.0;"Venture";"B";3900;12.53;0;0.19;"N";9
23;58000;"Own";4.0;"Medical";"C";6400;13.48;0;0.11;"Y";3
27;129900;"Mortgage";11.0;"Medical";"B";3100;11.11;0;0.02;"N";8
24;95000;"Rent";8.0;"Personal";"D";17200;17.58;0;0.18;"N";3
29;60000;"Mortgage";3.0;"Personal";"A";7200;7.88;0;0.12;"N";7
31;39420;"Rent";0.0;"Medical";"C";2500;15.27;0;0.06;"Y";8
35;75000;"Mortgage";5.0;"Debtconsolidation";"C";4000;14.27;0;0.05;"Y";5
24;28800;"Mortgage";5.0;"Debtconsolidation";"C";5500;0.0;0;0.19;"Y";3
29;46000;"Rent";6.0;"Venture";"B";4000;9.99;0;0.09;"N";9
26;39000;"Mortgage";4.0;"Debtconsolidation";"D";5000;13.67;1;0.13;"N";3
27;79000;"Mortgage";4.0;"Personal";"A";9000;6.76;0;0.11;"N";10
22;58900;"Rent";2.0;"Medical";"C";14900;13.57;0;0.25;"N";3
23;100000;"Mortgage";7.0;"Education";"A";15000;7.88;0;0.15;"N";4
29;64000;"Rent";13.0;"Personal";"C";4900;0.0;0;0.08;"Y";10
25;120000;"Rent";2.0;"Personal";"A";15000;7.51;0;0.13;"N";2
31;73000;"Mortgage";4.0;"Debtconsolidation";"F";16000;19.41;1;0.22;"N";7
27;54400;"Mortgage";11.0;"Medical";"D";11000;15.33;1;0.17;"Y";10
23;60000;"Rent";3.0;"Education";"B";20000;12.21;1;0.33;"N";2
28;110000;"Mortgage";12.0;"Homeimprovement";"B";3500;11.49;0;0.03;"N";10
25;60000;"Rent";1.0;"Personal";"A";10000;0.0;0;0.17;"N";4
32;70197;"Mortgage";9.0;"Debtconsolidation";"A";4100;7.51;0;0.06;"N";6
31;83000;"Mortgage";11.0;"Medical";"A";7500;0.0;0;0.09;"N";6
30;120000;"Mortgage";5.0;"Debtconsolidation";"B";5000;10.38;0;0.04;"N";9
23;52000;"Rent";1.0;"Personal";"C";25000;13.22;1;0.48;"N";2
26;47000;"Mortgage";0.0;"Personal";"A";3000;5.79;0;0.06;"N";2
28;33000;"Rent";0.0;"Venture";"D";3200;14.42;1;0.1;"Y";6
22;88000;"Rent";6.0;"Venture";"B";28000;9.91;1;0.32;"N";3
25;45000;"Mortgage";0.0;"Venture";"B";7500;10.39;0;0.17;"N";3
25;123144;"Rent";2.0;"Medical";"B";12000;10.75;0;0.1;"N";2
23;30000;"Rent";0.0;"Education";"C";8400;14.65;0;0.28;"N";3
33;32400;"Rent";8.0;"Education";"A";11000;6.99;1;0.34;"N";10
24;53117;"Rent";1.0;"Personal";"C";2000;13.79;0;0.04;"N";2
33;86000;"Rent";0.0;"Debtconsolidation";"A";4700;9.63;0;0.05;"N";7
34;39000;"Rent";0.0;"Debtconsolidation";"B";7500;9.45;1;0.19;"N";9
30;66000;"Mortgage";15.0;"Venture";"B";15000;11.14;0;0.23;"N";8
23;28296;"Mortgage";0.0;"Personal";"B";7000;0.0;0;0.25;"N";4
27;105000;"Mortgage";7.0;"Education";"A";11000;7.49;0;0.1;"N";5
24;9600;"Rent";3.0;"Education";"C";1300;12.73;1;0.14;"N";2
25;38000;"Rent";9.0;"Medical";"B";4800;11.71;0;0.13;"N";4
26;50000;"Rent";2.0;"Personal";"A";10000;8.49;0;0.2;"N";3
24;59000;"Mortgage";3.0;"Debtconsolidation";"C";6800;12.53;1;0.12;"Y";4
31;24996;"Rent";0.0;"Debtconsolidation";"C";5000;12.99;1;0.2;"N";8
27;34000;"Own";7.0;"Education";"C";8000;12.53;0;0.24;"N";10
24;30000;"Rent";2.0;"Debtconsolidation";"C";1500;14.22;0;0.05;"Y";4
31;65000;"Rent";2.0;"Education";"B";6000;11.49;0;0.09;"N";6
31;24000;"Own";14.0;"Personal";"D";2000;16.29;0;0.08;"N";9
22;65100;"Rent";3.0;"Education";"E";6000;16.2;0;0.09;"N";4
33;19200;"Rent";0.0;"Personal";"B";6000;10.65;1;0.31;"N";6
30;98000;"Rent";14.0;"Personal";"C";8525;10.78;1;0.09;"N";9
27;83000;"Mortgage";11.0;"Venture";"C";2500;13.99;0;0.03;"Y";8
37;46154;"Rent";11.0;"Medical";"C";6000;0.0;1;0.13;"N";10
30;72000;"Mortgage";3.0;"Medical";"A";14000;6.99;0;0.19;"N";9
32;59000;"Rent";1.0;"Personal";"D";8000;14.96;1;0.14;"Y";10
22;14400;"Rent";0.0;"Homeimprovement";"E";4400;19.91;1;0.31;"N";4
37;36000;"Mortgage";21.0;"Venture";"A";8000;7.88;0;0.22;"N";15
21;65004;"Mortgage";5.0;"Debtconsolidation";"B";5000;9.99;0;0.08;"N";3
36;45000;"Rent";4.0;"Medical";"B";20000;11.36;1;0.44;"N";14
22;60000;"Rent";6.0;"Personal";"A";14000;6.03;0;0.23;"N";2
21;84000;"Mortgage";5.0;"Education";"B";2500;9.99;0;0.03;"N";4
37;89532;"Rent";9.0;"Medical";"B";6600;12.53;0;0.07;"N";12
29;43000;"Rent";1.0;"Medical";"B";6000;11.14;0;0.14;"N";7
28;98000;"Rent";6.0;"Education";"A";4000;7.51;1;0.04;"N";7
37;63000;"Rent";1.0;"Debtconsolidation";"A";14900;9.63;0;0.24;"N";13
24;28932;"Mortgage";4.0;"Personal";"C";10000;0.0;0;0.35;"Y";2
37;20004;"Rent";0.0;"Venture";"B";5000;0.0;0;0.25;"N";14
32;56784;"Own";3.0;"Personal";"D";12000;14.96;0;0.21;"Y";10
53;46000;"Own";9.0;"Personal";"B";4925;11.71;0;0.11;"N";23
30;98000;"Mortgage";8.0;"Venture";"A";3500;7.68;0;0.04;"N";10
69;80000;"Rent";12.0;"Medical";"C";4800;14.79;0;0.06;"Y";22
21;20000;"Rent";0.0;"Medical";"B";5600;10.75;0;0.28;"N";4
25;42000;"Rent";3.0;"Education";"C";10000;13.8;1;0.24;"N";2
